Title,Source,Link,Authors,Abstract,Publication Date,Keywords,Subject Area
Efficacy and safety of Piclidenoson in the treatment of plaque psoriasis: a systematic review and meta-analysis of randomized controlled trials,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209376729,Ul Haq M.Z.,,2025-12-01,,immunology
Comment to: Is surgeon annual case volume related with intra and postoperative complications after ventral hernia repair?,Hernia,https://api.elsevier.com/content/abstract/scopus_id/85209366609,Wang G.,,2025-12-01,,immunology
A Hypoxia-Inflammation Cycle and Multiple Sclerosis: Mechanisms and Therapeutic Implications,Current Treatment Options in Neurology,https://api.elsevier.com/content/abstract/scopus_id/85209360435,Soroush A.,,2025-12-01,,immunology
Minimizing Indoor Allergen Exposure: What Works?,Current Allergy and Asthma Reports,https://api.elsevier.com/content/abstract/scopus_id/85209227457,Beheshti R.,,2025-12-01,,immunology
A systematic review and meta-analysis of the endothelial-immune candidate biomarker endoglin in rheumatic diseases,Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209218442,Mangoni A.A.,,2025-12-01,,immunology
Systematic review of biologic use for psoriasis in HIV-positive individuals from 2018 to 2024,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209218408,Shimon S.V.,,2025-12-01,,immunology
A single-center retrospective analysis of primary cutaneous mucinous carcinoma,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209209944,Freeman T.,,2025-12-01,,immunology
"Correction to: Genetic Evaluation of the Patients with Clinically Diagnosed Inborn Errors of Immunity by Whole Exome Sequencing: Results from a Specialized Research Center for Immunodeficiency in Türkiye (Journal of Clinical Immunology, (2024), 44, 7, (157), 10.1007/s10875-024-01759-w)",Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85209208666,Erman B.,,2025-12-01,,immunology
Unidentified Fever and Persistent Liver Dysfunction in a Patient with X-Linked Agamaglobulinemia,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85209203955,Zhang Y.,,2025-12-01,,immunology
Racial differences in plasma cytokine profiles in atopic dermatitis and association with itch intensity in a cross-sectional study,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209202164,Ma E.Z.,,2025-12-01,,immunology
Outcomes of X-Linked Agammaglobulinaemia Patients,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85209194046,Shillitoe B.,,2025-12-01,,immunology
A novel mutation in FNIP1 associated with a syndromic immunodeficiency and cardiomyopathy,Immunogenetics,https://api.elsevier.com/content/abstract/scopus_id/85209186539,Spivak I.,,2025-12-01,,immunology
Unexpected Multiple Gastrointestinal Cancers in a Patient with Chronic Eosinophilia: A Case Report,Journal of Gastrointestinal Cancer,https://api.elsevier.com/content/abstract/scopus_id/85209184850,Xie W.,,2025-12-01,,immunology
Clinical characteristics and prognosis analysis of pseudomonas aeruginosa bloodstream infection in adults: a retrospective study,Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209182193,Huang X.,,2025-12-01,,immunology
"Recent Advances in Artificial Sensory Neurons: Biological Fundamentals, Devices, Applications, and Challenges",Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209180506,Zhong S.,,2025-12-01,,immunology
"Chronobiological disruptions: unravelling the interplay of shift work, circadian rhythms, and vascular health in the context of stroke risk",Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209130640,Li X.,,2025-12-01,,immunology
Dupilumab in a 9-week-old with Netherton Syndrome Leads to Deep Symptom Control,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85209115670,Vollmuth Y.,,2025-12-01,,immunology
Allergic clinical symptoms and distribution of stimulation index of drug lymphocyte stimulation test for local anesthetics,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85208603498,Baba Y.,,2025-12-01,,immunology
Endophilin A2 Deficiency Impairs Antibody Production in Humans,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85208603315,Mehawej C.,,2025-12-01,,immunology
Formation of bone tissue apatite on starch-based nanofiber-capped nanohydroxyapatite and reduced graphene oxide: a preliminary study,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85208602968,Senthil R.,,2025-12-01,,immunology
Tumor-immune hybrid cells evade the immune response and potentiate colorectal cancer metastasis through CTLA4,Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85208602780,Tanjak P.,,2025-12-01,,immunology
A large cohort from an immunology reference center and an algorithm for the follow-up of chronic neutropenia,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85208602719,Caka C.,,2025-12-01,,immunology
Epistatic effects of IGHG and FCGRIIB genes on the development of Alzheimer’s disease in African Americans,Immunogenetics,https://api.elsevier.com/content/abstract/scopus_id/85208507765,Pandey J.P.,,2025-12-01,,immunology
Development and validation of a model for predicting who can benefit from multiple TACE in HCC patients,Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85208291151,Zhang H.,,2025-12-01,,immunology
Treatment of COVID-19 Associated Olfactory Dysfunction: A Systematic Review,Current Allergy and Asthma Reports,https://api.elsevier.com/content/abstract/scopus_id/85208165975,Bischoff S.,,2025-12-01,,immunology
Implementation Science and Pediatric Diabetes: A Scoping Review of the State of the Literature and Recommendations for Future Research,Current Diabetes Reports,https://api.elsevier.com/content/abstract/scopus_id/85208165807,Price J.,,2025-12-01,,immunology
"Polysaccharide, Conjugate, and mRNA-based Vaccines are Immunogenic in Patients with Netherton Syndrome",Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85208161876,Nouwen A.E.M.,,2025-12-01,,immunology
Hematopoietic Stem Cell Transplantation for C1q Deficiency: A Study on Behalf of the EBMT Inborn Errors Working Party,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85208148136,Buso H.,,2025-12-01,,immunology
Mechanisms of Bone Morphogenetic Protein 2 in Respiratory Diseases,Current Allergy and Asthma Reports,https://api.elsevier.com/content/abstract/scopus_id/85208082282,Wen Y.,,2025-12-01,,immunology
Cancer Trends in Inborn Errors of Immunity: A Systematic Review and Meta-Analysis,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85208082272,Fekrvand S.,,2025-12-01,,immunology
Neurocritical Care in Transplant Patients,Current Treatment Options in Neurology,https://api.elsevier.com/content/abstract/scopus_id/85207824364,Khaliq A.,,2025-12-01,,immunology
Normalized Interferon Signatures and Clinical Improvements by IFNAR1 Blocking Antibody (Anifrolumab) in Patients with Type I Interferonopathies,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85207496711,Kretzschmar G.,,2025-12-01,,immunology
Development of an Expert-Based Scoring System for Early Identification of Patients with Inborn Errors of Immunity in Primary Care Settings – the PIDCAP Project,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85207487000,Rivière J.G.,,2025-12-01,,immunology
Dissecting Secondary Immunodeficiency: Identification of Primary Immunodeficiency within B-Cell Lymphoproliferative Disorders,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85207379751,Palacios-Ortega M.,,2025-12-01,,immunology
A Non-targeted Proteomics Newborn Screening Platform for Inborn Errors of Immunity,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85207358609,Shibata H.,,2025-12-01,,immunology
A Novel Monoallelic Small Deletion Confers Gain-of-Function of STAT1 in a Child with Candidiasis and Mycobacterial Diseases,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85207224781,Tello H.G.,,2025-12-01,,immunology
Severe Adverse Reaction to Measles Vaccine Due to Homozygous Mutation in the IFNAR2 Gene: A Case Report and Literature Review,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85206962703,Adi G.,,2025-12-01,,immunology
The Latin American Society for Immunodeficiencies Registry,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85206961820,Seminario G.,,2025-12-01,,immunology
Refractory Autoimmune Thrombocytopenia in an Infant with a De Novo TLR7 Gain-of-Function Variant,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85206961102,Menon S.,,2025-12-01,,immunology
"Inborn Errors of Immunity in Pediatric Intensive Care: Prevalence, Characteristics, and Prognosis",Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85206279872,Celmeli F.,,2025-12-01,,immunology
Disseminated Aspergillosis in X-linked Agammaglobulinemia: Beyond the norm,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85206277781,Thangaraj A.,,2025-12-01,,immunology
"Synthesis, antimicrobial and antioxidant activity evaluation, DFT-calculation, and docking studies of 3-aryl-5,6-dihydroimidazo[2,1-b][1,3]thiazoles",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210103684,Zhylko V.,,2025-12-01,,chemistry
"Structural, electronic, and spectroscopic properties of oxadiazole isomers in the light of DFT computational study",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210102987,Oulhaj O.,,2025-12-01,,chemistry
Study of the chemical content of organic extracts of the Syrian plant Artemisia herba-alba using GC-MS technology,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210102211,Khdera H.A.,,2025-12-01,,chemistry
Therapeutic effect of total glucosides of paeony on IgA vasculitis nephritis: progress and prospects,Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85210100638,Wang Z.,,2025-12-01,,chemistry
The quantum chemical study of the reaction between chlorocarbonylsulfenyl chloride and benzamide,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210098094,Jalil Z.,,2025-12-01,,chemistry
Enhanced Carbon Dioxide Biofixation and Lipid Production of Chlorella sp. Using Alkali Absorber and Strategic Carbon Dioxide Supply,Bioenergy Research,https://api.elsevier.com/content/abstract/scopus_id/85210097573,Padhi D.,,2025-12-01,,chemistry
Experimental and theoretical correlations in (Z)-C-aryl-N-methylnitrones,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210097546,Kula K.,,2025-12-01,,chemistry
Role of Chemokines and Cytokines in Prostate Cancer Skeletal Metastasis,Current Osteoporosis Reports,https://api.elsevier.com/content/abstract/scopus_id/85210097365,Shiozawa Y.,,2025-12-01,,chemistry
"Design, synthesis, characterization and antimicrobial screening of newly synthesized indazoles of vanillin analogues",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210097287,Karangiya K.L.,,2025-12-01,,chemistry
"Synthesis and some chemical transformations of novel 1-oxo-3,4-dihydro-1H-pyrrolo[2,1-c][1,4]oxazine-8-carboxylic acids and their benzoannelated analogues",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210097138,Litvinchuk M.,,2025-12-01,,chemistry
Base and additive free click chemistry strategy to accomplish the synthesis of amalgamated pyrazolo-triazole heterocyclic scaffolds and their molecular docking study,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210096400,Waskle A.,,2025-12-01,,chemistry
Numerical analysis of bioconvective heat transport through Casson nanofluid over a thin needle,Journal of Biological Physics,https://api.elsevier.com/content/abstract/scopus_id/85210095821,Jena S.,,2025-12-01,,chemistry
"Design, synthesis and anticancer activity of novel 4-(5-amino-4-cyano-1,3-oxazol-2-yl)benzenesulfonamide derivatives",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210093949,Severin O.,,2025-12-01,,chemistry
The synthesis of pyrazole derivatives from hydrazone using Amberlyst A26 resin under ultrasonic radiation,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210091771,Vane V.,,2025-12-01,,chemistry
Mast Cells and Mas-related G Protein-coupled Receptor X2: Itching for Novel Pathophysiological Insights to Clinical Relevance,Current Allergy and Asthma Reports,https://api.elsevier.com/content/abstract/scopus_id/85210090744,Castells M.,,2025-12-01,,chemistry
Integrated computer aided methods to designing potent α-Glucosidase inhibitors based on quinoline scaffold derivatives,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210088632,Khaldan A.,,2025-12-01,,chemistry
Advanced quantum and docking studies on the [3+2] cycloaddition of nitrile oxide with 1-Methyl-4-(Prop-1-en-2-yl)Cyclohex-1-ene: Exploring mechanisms and ADME properties,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210086953,Ryachi K.,,2025-12-01,,chemistry
Inborn Error of WAS Presenting with SARS-CoV-2-Related Multisystem Inflammatory Syndrome in Children,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85210086890,Drago E.,,2025-12-01,,chemistry
Clinical practice guidelines for antimicrobial-loaded cements and beads in orthopedic trauma and arthroplasty,European Journal of Orthopaedic Surgery and Traumatology,https://api.elsevier.com/content/abstract/scopus_id/85210086477,Epperson A.B.,,2025-12-01,,chemistry
"The role of mir-7-5p in cancer: function, prognosis, diagnosis, and therapeutic implications",Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85210085526,Mirzaei Z.,,2025-12-01,,chemistry
"Synthesis, characterization, and biological profiling of novel benzotriazole-thio linked derivatives as promising anti-inflammatory, analgesic, and antibacterial agents",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210084132,Kshatriya M.R.,,2025-12-01,,chemistry
Enhancing Surface Properties of Circular Carbon Biochar Derived from Spent Coffee Beans Through ZnCl<inf>2</inf>/KOH Activation,Bioenergy Research,https://api.elsevier.com/content/abstract/scopus_id/85210082609,D G.,,2025-12-01,,chemistry
"Regioselectivity study of 1,3-dipolar cycloaddition of 2-azido-N-(4-diazenylphenyl)acetamide with terminal alkyne through DFT analysis",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210081337,Zaki K.,,2025-12-01,,chemistry
"Fungus-Yeast Tri-culture System for In Situ Cellulase Production, Biodetoxification, and Bioethanol Production Using Rice Straw with Cyclic Shifting of Temperature Strategy",Bioenergy Research,https://api.elsevier.com/content/abstract/scopus_id/85210077059,Panda S.K.,,2025-12-01,,chemistry
A review of mathematical methods in energy management optimization,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210076211,Fatemi Z.,,2025-12-01,,chemistry
Glutathione S-transferase TcGSTu1 contributes to defense against eucalyptol in Tribolium castaneum,Genetica,https://api.elsevier.com/content/abstract/scopus_id/85210030557,Gao S.,,2025-12-01,,chemistry
"Relationship between immune cell traits, circulating inflammatory cytokines, and the risk of incisional hernia after gastric surgery",Hernia,https://api.elsevier.com/content/abstract/scopus_id/85209821587,Shi H.,,2025-12-01,,chemistry
Competences that affect the gastronomic entrepreneur for a proper business management,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209790662,Yábar D.C.P.B.,,2025-12-01,,chemistry
Development of hepatocellular carcinoma organoid model recapitulating HIF-1A metabolic signature,Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209762000,Khedr M.A.,,2025-12-01,,chemistry
Exploring the Potential of Syngas Fermentation for Recovery of High-Value Resources: A Comprehensive Review,Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85209754513,Neto A.S.,,2025-12-01,,chemistry
The emerging roles of neuroactive components produced by gut microbiota,Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209745879,Dezfouli M.A.,,2025-12-01,,chemistry
Bioinspired Ultrasensitive Flexible Strain Sensors for Real-Time Wireless Detection of Liquid Leakage,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209736908,Zhou W.,,2025-12-01,,chemistry
Reference gene selection for real-time qPCR in European flounder (Platichthys flesus) using organ-specific RNA-seq data,Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209736135,Pomianowski K.,,2025-12-01,,chemistry
Wafer-Scale Ag<inf>2</inf>S-Based Memristive Crossbar Arrays with Ultra-Low Switching-Energies Reaching Biological Synapses,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209734599,Zhu Y.,,2025-12-01,,chemistry
Two different complement Factor B (Bf) alleles of the orangutan major histocompatibility complex (MHC) are also conserved in chimpanzee and humans showing importance in primate immunity,Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209732931,Arnaiz-Villena A.,,2025-12-01,,chemistry
Direct Photolithography of WO<inf>x</inf> Nanoparticles for High-Resolution Non-Emissive Displays,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209729690,Gu C.,,2025-12-01,,chemistry
Report of a novel missense TDP1 variant in a Pakistani family affected with an extremely rare disorder congenital spinocerebellar ataxia with axonal neuropathy type 1 (SCAN1),Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209726911,Ahmad R.,,2025-12-01,,chemistry
Exploring STK3 in melanoma: a systematic review of signaling networks and therapeutic opportunities,Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209716403,Khanahmadi M.,,2025-12-01,,chemistry
Remote limb ischemic pre-conditioning prevents renal Ischemia/reperfusion injury in rats by modulating oxidative stress and TNF-α/NF-κB/TGF-/βapelin signaling pathway,Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209706367,Gholampour F.,,2025-12-01,,chemistry
Role of mucosal IgA antibodies as novel therapies to enhance mucosal barriers,Seminars in Immunopathology,https://api.elsevier.com/content/abstract/scopus_id/85209696201,Gao P.,,2025-12-01,,chemistry
Exploration of Gas-Dependent Self-Adaptive Reconstruction Behavior of Cu<inf>2</inf>O for Electrochemical CO<inf>2</inf> Conversion to Multi-Carbon Products,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209585704,Zhang C.,,2025-12-01,,chemistry
Anaplastic thyroid carcinoma: vimentin segregates at the invasive front of tumors in a murine xenograft model,Histochemistry and Cell Biology,https://api.elsevier.com/content/abstract/scopus_id/85209577916,Miraglia A.,,2025-12-01,,chemistry
MXene Hybridized Polymer with Enhanced Electromagnetic Energy Harvest for Sensitized Microwave Actuation and Self-Powered Motion Sensing,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209553128,Wang Y.Z.,,2025-12-01,,chemistry
"The amelioration effects of ankaferd blood stopper, platelet gel, and Momordica charantia on peripheral nerve injury in the rats: a stereological and ultrastructural study",Histochemistry and Cell Biology,https://api.elsevier.com/content/abstract/scopus_id/85209545963,Altun G.,,2025-12-01,,chemistry
Low-Temperature Fabrication of Stable Black-Phase CsPbI<inf>3</inf> Perovskite Flexible Photodetectors Toward Wearable Health Monitoring,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209545234,Zhao Y.,,2025-12-01,,chemistry
Flexible Strain Sensors with Ultra-High Sensitivity and Wide Range Enabled by Crack-Modulated Electrical Pathways,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209539663,Bai Y.,,2025-12-01,,chemistry
"Expression of Salivary miRNAs, Clinical, and Demographic Features in the Early Detection of Gastric Cancer: A Statistical and Machine Learning Analysis",Journal of Gastrointestinal Cancer,https://api.elsevier.com/content/abstract/scopus_id/85209484066,Koopaie M.,,2025-12-01,,chemistry
Recent progress in hematoporphyrin monomethyl ether-photodynamic therapy for port-wine stains: updates and insights,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209394133,Khalaf A.T.,,2025-12-01,,chemistry
Relationship of vitamin D to pathogenesis and outcomes of hidradenitis suppurativa: a systematic review,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209391132,Osman A.,,2025-12-01,,chemistry
The Development of Epilepsy Following CNS Viral Infections: Mechanisms,Current Neurology and Neuroscience Reports,https://api.elsevier.com/content/abstract/scopus_id/85209380823,Savoca G.,,2025-12-01,,chemistry
Introducing a novel TRAPPC10 gene variant as a potential cause of developmental delay and intellectual disability in an Iranian family,Neurogenetics,https://api.elsevier.com/content/abstract/scopus_id/85209380244,Nozari A.,,2025-12-01,,chemistry
Ceramides as Biomarkers of Cardiovascular Diseases and Heart Failure,Current Heart Failure Reports,https://api.elsevier.com/content/abstract/scopus_id/85209372948,Augusto S.N.,,2025-12-01,,chemistry
Approach to Resistant Hypertension: A Review of Recent Pharmacological Advances,Current Treatment Options in Cardiovascular Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209211757,Arvanitis L.V.,,2025-12-01,,chemistry
Outcomes of X-Linked Agammaglobulinaemia Patients,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85209194046,Shillitoe B.,,2025-12-01,,chemistry
Current biological implications and clinical relevance of metastatic circulating tumor cells,Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209193847,Shahhosseini R.,,2025-12-01,,chemistry
"Recent Advances in Artificial Sensory Neurons: Biological Fundamentals, Devices, Applications, and Challenges",Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209180506,Zhong S.,,2025-12-01,,chemistry
Beyond the Scale: Exploring the Endocannabinoid System’s Impact on Obesity,Current Diabetes Reports,https://api.elsevier.com/content/abstract/scopus_id/85209176477,Akurati S.,,2025-12-01,,chemistry
Ideal Bi-Based Hybrid Anode Material for Ultrafast Charging of Sodium-Ion Batteries at Extremely Low Temperatures,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209172437,Bai J.,,2025-12-01,,chemistry
Novel role of curcumin as inhibitor of β-amyloid-induced lamin fragmentation,Histochemistry and Cell Biology,https://api.elsevier.com/content/abstract/scopus_id/85209153881,Hossain M.S.,,2025-12-01,,chemistry
Electrode/Electrolyte Optimization-Induced Double-Layered Architecture for High-Performance Aqueous Zinc-(Dual) Halogen Batteries,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209153788,Zhou C.,,2025-12-01,,chemistry
Exploring Metabolic Pathways and Phytohormonal Influence in Preharvest Sprouting Resistant and Susceptible Rice Genotypes,Tropical Plant Biology,https://api.elsevier.com/content/abstract/scopus_id/85209140195,Balaji D.,,2025-12-01,,chemistry
"Chronobiological disruptions: unravelling the interplay of shift work, circadian rhythms, and vascular health in the context of stroke risk",Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209130640,Li X.,,2025-12-01,,chemistry
Pseudo-trajectory inference for identifying essential regulations and molecules in cell fate decisions,Journal of Biological Physics,https://api.elsevier.com/content/abstract/scopus_id/85209101326,He X.,,2025-12-01,,chemistry
An Artificial Intelligence-Assisted Flexible and Wearable Mechanoluminescent Strain Sensor System,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209099436,Dong Y.,,2025-12-01,,chemistry
Geothermal modeling in complex geological systems with ComPASS,Computers and Geosciences,https://api.elsevier.com/content/abstract/scopus_id/85208789593,Armandine Les Landes A.,,2025-12-01,,chemistry
Electrophysiological and olfactory behavioural responses of mature Stilpnotia candida to a mixture of volatiles from Populus×beijingensis,Journal of Forestry Research,https://api.elsevier.com/content/abstract/scopus_id/85208751853,Yang Z.,,2025-12-01,,chemistry
Advancing Our Understanding of Eddy-driven Jet Stream Responses to Climate Change – A Roadmap,Current Climate Change Reports,https://api.elsevier.com/content/abstract/scopus_id/85208706446,Ossó A.,,2025-12-01,,chemistry
Wafer-Scale Vertical 1D GaN Nanorods/2D MoS<inf>2</inf>/PEDOT:PSS for Piezophototronic Effect-Enhanced Self-Powered Flexible Photodetectors,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85208692975,Tang X.,,2025-12-01,,chemistry
Smart Gas Sensors: Recent Developments and Future Prospective,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85208631944,Zong B.,,2025-12-01,,chemistry
Treatment of Downbeat Nystagmus and Cerebellar Ataxia,Current Treatment Options in Neurology,https://api.elsevier.com/content/abstract/scopus_id/85208626241,Srinivasan S.R.,,2025-12-01,,chemistry
Defect Engineering with Rational Dopants Modulation for High-Temperature Energy Harvesting in Lead-Free Piezoceramics,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85208620627,Xi K.,,2025-12-01,,chemistry
"Structural, electronic, and spectroscopic properties of oxadiazole isomers in the light of DFT computational study",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210102987,Oulhaj O.,,2025-12-01,,electronic engineering
Experimental and theoretical correlations in (Z)-C-aryl-N-methylnitrones,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210097546,Kula K.,,2025-12-01,,electronic engineering
Design of news sentiment classification and recommendation system based on multi-model fusion and text similarity,International Journal of Cognitive Computing in Engineering,https://api.elsevier.com/content/abstract/scopus_id/85209877149,Xi Q.,,2025-12-01,,electronic engineering
Bioinspired Ultrasensitive Flexible Strain Sensors for Real-Time Wireless Detection of Liquid Leakage,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209736908,Zhou W.,,2025-12-01,,electronic engineering
Wafer-Scale Ag<inf>2</inf>S-Based Memristive Crossbar Arrays with Ultra-Low Switching-Energies Reaching Biological Synapses,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209734599,Zhu Y.,,2025-12-01,,electronic engineering
Direct Photolithography of WO<inf>x</inf> Nanoparticles for High-Resolution Non-Emissive Displays,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209729690,Gu C.,,2025-12-01,,electronic engineering
Exploration of Gas-Dependent Self-Adaptive Reconstruction Behavior of Cu<inf>2</inf>O for Electrochemical CO<inf>2</inf> Conversion to Multi-Carbon Products,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209585704,Zhang C.,,2025-12-01,,electronic engineering
Artificial Intelligence as a Tool for Creating Patient Visit Summary: A Scoping Review and Guide to Implementation in an Erectile Dysfunction Clinic,Current Urology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209553159,Lumbiganon S.,,2025-12-01,,electronic engineering
Low-Temperature Fabrication of Stable Black-Phase CsPbI<inf>3</inf> Perovskite Flexible Photodetectors Toward Wearable Health Monitoring,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209545234,Zhao Y.,,2025-12-01,,electronic engineering
Flexible Strain Sensors with Ultra-High Sensitivity and Wide Range Enabled by Crack-Modulated Electrical Pathways,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209539663,Bai Y.,,2025-12-01,,electronic engineering
Recent progress in hematoporphyrin monomethyl ether-photodynamic therapy for port-wine stains: updates and insights,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209394133,Khalaf A.T.,,2025-12-01,,electronic engineering
Evaluating digital maturity in specialized enterprises: a multi-criteria decision-making approach,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209360846,Zhu Y.,,2025-12-01,,electronic engineering
Effects of education for entrepreneurship and entrepreneurial intention in university students,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209353383,Silesky-Gonzalez E.,,2025-12-01,,electronic engineering
Does innovation practices enhance the impact of environmental criteria adoption over entrepreneurial SMEs’ performance?,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209224974,Clemente-Almendros J.A.,,2025-12-01,,electronic engineering
"Recent Advances in Artificial Sensory Neurons: Biological Fundamentals, Devices, Applications, and Challenges",Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209180506,Zhong S.,,2025-12-01,,electronic engineering
An Artificial Intelligence-Assisted Flexible and Wearable Mechanoluminescent Strain Sensor System,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209099436,Dong Y.,,2025-12-01,,electronic engineering
Unlocking growth potential: investigating the significance of firm location for music startups,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85208738363,Shabtai R.H.,,2025-12-01,,electronic engineering
